!CSV A.01.01
!Keysight Technologies,N5224A,MY51441075,A.10.49.11
!Date: Saturday, November 26, 2022 12:56:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
899000000,-26.797707,-98.153885
900000000,-26.77763,-100.88447
901000000,-26.757517,-103.61275
902000000,-26.737259,-106.33936
903000000,-26.716862,-109.0635
904000000,-26.696163,-111.78545
905000000,-26.675325,-114.50562
906000000,-26.654209,-117.22416
907000000,-26.632849,-119.94102
908000000,-26.611294,-122.65658
909000000,-26.589445,-125.3709
910000000,-26.567266,-128.08403
911000000,-26.544815,-130.79588
912000000,-26.522089,-133.50748
913000000,-26.499044,-136.21802
914000000,-26.475657,-138.9281
915000000,-26.451944,-141.638
916000000,-26.427975,-144.34808
917000000,-26.403723,-147.05846
918000000,-26.379215,-149.76894
919000000,-26.354416,-152.4798
920000000,-26.32939,-155.19135
921000000,-26.304104,-157.90382
922000000,-26.278601,-160.61758
923000000,-26.252928,-163.33191
924000000,-26.227036,-166.04747
925000000,-26.201021,-168.76416
926000000,-26.174953,-171.48181
927000000,-26.148737,-174.20079
928000000,-26.122379,-176.92049
929000000,-26.09597,-179.64151
930000000,-26.069523,177.63637
931000000,-26.042971,174.91347
932000000,-26.016386,172.18942
933000000,-25.989756,169.46407
934000000,-25.963057,166.73793
935000000,-25.936356,164.01039
936000000,-25.909624,161.28206
937000000,-25.882858,158.55281
938000000,-25.856077,155.82211
939000000,-25.829252,153.09077
940000000,-25.802349,150.35809
941000000,-25.77536,147.62416
942000000,-25.748367,144.88869
943000000,-25.721382,142.15182
944000000,-25.694292,139.41376
945000000,-25.667221,136.67378
946000000,-25.640112,133.93213
947000000,-25.61302,131.18848
948000000,-25.585901,128.44289
949000000,-25.558891,125.69514
950000000,-25.531931,122.94558
951000000,-25.505039,120.1937
952000000,-25.478271,117.43918
953000000,-25.451633,114.68187
954000000,-25.425209,111.92242
955000000,-25.398994,109.16066
956000000,-25.373077,106.39606
957000000,-25.347408,103.62883
958000000,-25.32206,100.85976
959000000,-25.297049,98.088531
960000000,-25.272448,95.314789
961000000,-25.248232,92.538857
962000000,-25.224468,89.761597
963000000,-25.201242,86.982544
964000000,-25.178452,84.20192
965000000,-25.156301,81.420059
966000000,-25.134684,78.637154
967000000,-25.1136,75.853645
968000000,-25.093107,73.069748
969000000,-25.073126,70.285797
970000000,-25.053787,67.501869
971000000,-25.034966,64.717979
972000000,-25.016777,61.934887
973000000,-24.999132,59.152451
974000000,-24.981985,56.370667
975000000,-24.96541,53.590416
976000000,-24.949343,50.811852
977000000,-24.933773,48.034966
978000000,-24.918629,45.259552
979000000,-24.903934,42.485847
980000000,-24.889593,39.714493
981000000,-24.875696,36.945026
982000000,-24.862089,34.177685
983000000,-24.848816,31.412928
984000000,-24.835825,28.650072
985000000,-24.823141,25.889605
986000000,-24.810646,23.131346
987000000,-24.798353,20.375164
988000000,-24.786283,17.621229
989000000,-24.774328,14.869573
990000000,-24.762602,12.11987
991000000,-24.750956,9.3721361
992000000,-24.739515,6.626246
993000000,-24.72818,3.8820539
994000000,-24.716955,1.1394957
995000000,-24.705801,-1.6012502
996000000,-24.694725,-4.3409104
997000000,-24.683701,-7.0788412
998000000,-24.672791,-9.8156996
999000000,-24.661947,-12.551259
1000000000,-24.651232,-15.28555
1001000000,-24.640596,-18.018646
1002000000,-24.630096,-20.750961
1003000000,-24.619741,-23.482168
1004000000,-24.609507,-26.212429
1005000000,-24.59943,-28.941523
1006000000,-24.589512,-31.670078
1007000000,-24.579679,-34.397415
1008000000,-24.570051,-37.123699
1009000000,-24.560562,-39.84927
1010000000,-24.551289,-42.573494
1011000000,-24.542156,-45.29689
1012000000,-24.533306,-48.01902
1013000000,-24.524599,-50.739918
1014000000,-24.516146,-53.459461
1015000000,-24.507866,-56.177391
1016000000,-24.499794,-58.894146
1017000000,-24.491987,-61.608879
1018000000,-24.484385,-64.321678
1019000000,-24.476927,-67.032928
1020000000,-24.469673,-69.742142
1021000000,-24.462584,-72.449112
1022000000,-24.455643,-75.153854
1023000000,-24.448883,-77.85643
1024000000,-24.442251,-80.556282
1025000000,-24.43573,-83.254082
1026000000,-24.429325,-85.949112
1027000000,-24.422974,-88.641853
1028000000,-24.416658,-91.331978
1029000000,-24.410347,-94.019753
1030000000,-24.4041,-96.704788
1031000000,-24.39786,-99.38694
1032000000,-24.391521,-102.06685
1033000000,-24.385132,-104.74422
1034000000,-24.378681,-107.41911
1035000000,-24.372086,-110.09135
1036000000,-24.365377,-112.76153
1037000000,-24.358528,-115.42925
1038000000,-24.351501,-118.09511
1039000000,-24.344299,-120.75869
1040000000,-24.336933,-123.42066
1041000000,-24.32933,-126.08062
1042000000,-24.32152,-128.73904
1043000000,-24.313452,-131.39606
1044000000,-24.305132,-134.05151
1045000000,-24.296524,-136.70578
1046000000,-24.287687,-139.35919
1047000000,-24.278576,-142.01184
1048000000,-24.269176,-144.66364
1049000000,-24.259546,-147.31523
1050000000,-24.249634,-149.96629
1051000000,-24.239506,-152.61745
1052000000,-24.229126,-155.26866
1053000000,-24.218525,-157.91983
1054000000,-24.207701,-160.57114
1055000000,-24.196709,-163.22292
1056000000,-24.185459,-165.87511
1057000000,-24.174133,-168.52815
1058000000,-24.162619,-171.18175
1059000000,-24.150976,-173.83623
1060000000,-24.139267,-176.49129
1061000000,-24.127499,-179.14716
1062000000,-24.115662,178.1962
1063000000,-24.103771,175.53864
1064000000,-24.091864,172.88029
1065000000,-24.080036,170.22139
1066000000,-24.068228,167.56131
1067000000,-24.056433,164.90091
1068000000,-24.044655,162.23965
1069000000,-24.032961,159.57799
1070000000,-24.02133,156.91591
1071000000,-24.009819,154.25311
1072000000,-23.998411,151.59001
1073000000,-23.987103,148.92697
1074000000,-23.97592,146.26317
1075000000,-23.964806,143.5995
1076000000,-23.953815,140.93558
1077000000,-23.94293,138.27188
1078000000,-23.932152,135.6084
1079000000,-23.921553,132.94464
1080000000,-23.911062,130.28134
1081000000,-23.900679,127.61825
1082000000,-23.890419,124.95557
1083000000,-23.880253,122.29304
1084000000,-23.870264,119.63129
1085000000,-23.860373,116.97012
1086000000,-23.850527,114.30952
1087000000,-23.840773,111.64953
1088000000,-23.831116,108.98985
1089000000,-23.821529,106.33105
1090000000,-23.811995,103.67271
1091000000,-23.802551,101.01505
1092000000,-23.793194,98.358116
1093000000,-23.783909,95.702026
1094000000,-23.774635,93.046516
1095000000,-23.765394,90.391617
1096000000,-23.756222,87.737732
1097000000,-23.747051,85.08445
1098000000,-23.73789,82.431732
1099000000,-23.728777,79.779716
1100000000,-23.719654,77.128265
1101000000,-23.710548,74.47731
1102000000,-23.701468,71.827011
1103000000,-23.692429,69.177483
1104000000,-23.68338,66.528519
1105000000,-23.67432,63.879803
1106000000,-23.665226,61.231991
1107000000,-23.656157,58.584637
1108000000,-23.647053,55.937737
1109000000,-23.637955,53.291237
1110000000,-23.628836,50.645283
1111000000,-23.619705,47.999832
1112000000,-23.610607,45.354881
1113000000,-23.601479,42.709892
1114000000,-23.5923,40.065384
1115000000,-23.583103,37.421101
1116000000,-23.57386,34.777122
1117000000,-23.564636,32.133453
1118000000,-23.555408,29.489847
1119000000,-23.546146,26.846371
1120000000,-23.536867,24.202993
1121000000,-23.527582,21.559595
1122000000,-23.518284,18.916222
1123000000,-23.508968,16.272566
1124000000,-23.499699,13.628981
1125000000,-23.490465,10.985329
1126000000,-23.481188,8.3414917
1127000000,-23.471956,5.6973906
1128000000,-23.462791,3.0529408
1129000000,-23.453699,0.40871316
1130000000,-23.444651,-2.2358689
1131000000,-23.435722,-4.8805504
1132000000,-23.426823,-7.5254316
1133000000,-23.418066,-10.170368
1134000000,-23.409397,-12.815447
1135000000,-23.400812,-15.460473
1136000000,-23.392361,-18.105757
1137000000,-23.384016,-20.750546
1138000000,-23.375799,-23.395363
1139000000,-23.367714,-26.039963
1140000000,-23.359766,-28.684292
1141000000,-23.351906,-31.328224
1142000000,-23.34424,-33.971714
1143000000,-23.336662,-36.614826
1144000000,-23.329235,-39.257252
1145000000,-23.321941,-41.898769
1146000000,-23.314827,-44.53994
1147000000,-23.307814,-47.180046
1148000000,-23.300955,-49.819454
1149000000,-23.29421,-52.457932
1150000000,-23.287613,-55.095371
1151000000,-23.28113,-57.731956
1152000000,-23.274702,-60.367432
1153000000,-23.268377,-63.00161
1154000000,-23.262091,-65.634659
1155000000,-23.255816,-68.26651
1156000000,-23.249569,-70.897072
1157000000,-23.243353,-73.526184
1158000000,-23.23719,-76.153976
1159000000,-23.230984,-78.780487
1160000000,-23.224764,-81.405678
1161000000,-23.218521,-84.0298
1162000000,-23.212246,-86.652603
1163000000,-23.205856,-89.274353
1164000000,-23.199413,-91.894791
1165000000,-23.1929,-94.514381
1166000000,-23.186317,-97.133156
1167000000,-23.17964,-99.75071
1168000000,-23.172798,-102.36766
1169000000,-23.165825,-104.98399
1170000000,-23.158739,-107.59958
1171000000,-23.151516,-110.21468
1172000000,-23.144117,-112.8295
1173000000,-23.136618,-115.44371
1174000000,-23.12896,-118.05768
1175000000,-23.12122,-120.67177
1176000000,-23.113354,-123.2856
1177000000,-23.105394,-125.89973
1178000000,-23.097332,-128.51413
1179000000,-23.08919,-131.12863
1180000000,-23.08095,-133.74353
1181000000,-23.072678,-136.35854
1182000000,-23.064302,-138.97435
1183000000,-23.055893,-141.59024
1184000000,-23.047457,-144.20682
1185000000,-23.039,-146.82394
1186000000,-23.030548,-149.44171
1187000000,-23.022093,-152.05974
1188000000,-23.013678,-154.67848
1189000000,-23.005293,-157.29752
1190000000,-22.996946,-159.91713
1191000000,-22.988625,-162.53694
1192000000,-22.980364,-165.15717
1193000000,-22.972187,-167.77779
1194000000,-22.964113,-170.39871
1195000000,-22.956148,-173.01994
1196000000,-22.948292,-175.64134
1197000000,-22.940519,-178.26256
1198000000,-22.93285,179.1163
1199000000,-22.925323,176.49498
1200000000,-22.917927,173.87402
1201000000,-22.910635,171.25339
1202000000,-22.903435,168.63322
1203000000,-22.896334,166.01369
1204000000,-22.889332,163.39465
1205000000,-22.882393,160.77618
1206000000,-22.875568,158.15834
1207000000,-22.868822,155.5412
1208000000,-22.862089,152.92499
1209000000,-22.85544,150.30939
1210000000,-22.848816,147.69473
1211000000,-22.842228,145.08102
1212000000,-22.835642,142.46812
1213000000,-22.829067,139.85612
1214000000,-22.822456,137.24507
1215000000,-22.815861,134.6347
1216000000,-22.809189,132.02515
1217000000,-22.802456,129.41643
1218000000,-22.795626,126.80828
1219000000,-22.788731,124.20078
1220000000,-22.781752,121.59375
1221000000,-22.774698,118.98689
1222000000,-22.767487,116.3807
1223000000,-22.760162,113.77499
1224000000,-22.75272,111.1693
1225000000,-22.745144,108.56387
1226000000,-22.737494,105.95862
1227000000,-22.729698,103.35331
1228000000,-22.721809,100.74766
1229000000,-22.713848,98.141541
1230000000,-22.705723,95.535324
1231000000,-22.697525,92.92865
1232000000,-22.689207,90.321281
1233000000,-22.680819,87.71315
1234000000,-22.672377,85.104462
1235000000,-22.663816,82.494904
1236000000,-22.655214,79.884438
1237000000,-22.646626,77.273277
1238000000,-22.637985,74.661034
1239000000,-22.629372,72.047585
1240000000,-22.620747,69.433304
1241000000,-22.612171,66.818092
1242000000,-22.603634,64.201683
1243000000,-22.595158,61.584225
1244000000,-22.586781,58.965706
1245000000,-22.578518,56.346134
1246000000,-22.570337,53.725941
1247000000,-22.5623,51.104588
1248000000,-22.554436,48.482662
1249000000,-22.546736,45.860023
1250000000,-22.539175,43.236767
1251000000,-22.531815,40.612885
1252000000,-22.524616,37.988674
1253000000,-22.517584,35.364029
1254000000,-22.510725,32.739376
1255000000,-22.504078,30.114397
1256000000,-22.497639,27.489237
1257000000,-22.491388,24.863861
1258000000,-22.485344,22.238544
1259000000,-22.479471,19.613464
1260000000,-22.473827,16.988783
1261000000,-22.46837,14.364205
1262000000,-22.46314,11.740159
1263000000,-22.458075,9.1166048
1264000000,-22.453215,6.4937081
1265000000,-22.448561,3.8715677
1266000000,-22.444101,1.2503039
1267000000,-22.439762,-1.3704722
1268000000,-22.435562,-3.9901829
1269000000,-22.431471,-6.6092854
1270000000,-22.427536,-9.2272625
1271000000,-22.423721,-11.844273
1272000000,-22.419991,-14.460349
1273000000,-22.416357,-17.07531
1274000000,-22.4128,-19.688972
1275000000,-22.409325,-22.301525
1276000000,-22.405893,-24.913023
1277000000,-22.402552,-27.523163
1278000000,-22.39925,-30.132301
1279000000,-22.39595,-32.740257
1280000000,-22.392647,-35.347389
1281000000,-22.389353,-37.953438
1282000000,-22.386047,-40.558693
1283000000,-22.382734,-43.162888
1284000000,-22.379362,-45.76606
1285000000,-22.375937,-48.368538
1286000000,-22.372505,-50.9701
1287000000,-22.369047,-53.570858
1288000000,-22.365545,-56.171181
1289000000,-22.361961,-58.770821
1290000000,-22.358315,-61.369873
1291000000,-22.354637,-63.968739
1292000000,-22.350906,-66.566956
1293000000,-22.347092,-69.164848
1294000000,-22.343235,-71.762497
1295000000,-22.339338,-74.359741
1296000000,-22.335367,-76.956955
1297000000,-22.331331,-79.553848
1298000000,-22.32728,-82.150581
1299000000,-22.32317,-84.747414
1300000000,-22.319014,-87.34391
1301000000,-22.314819,-89.940636
1302000000,-22.310585,-92.537323
1303000000,-22.306332,-95.134087
1304000000,-22.302025,-97.730843
1305000000,-22.297733,-100.32776
1306000000,-22.293392,-102.92484
1307000000,-22.289099,-105.52217
1308000000,-22.284815,-108.1196
1309000000,-22.280533,-110.71737
1310000000,-22.27627,-113.31505
1311000000,-22.272058,-115.91306
1312000000,-22.267904,-118.51104
1313000000,-22.263773,-121.10906
1314000000,-22.25968,-123.7071
1315000000,-22.255642,-126.30515
1316000000,-22.251616,-128.90326
1317000000,-22.24762,-131.50134
1318000000,-22.243654,-134.09947
1319000000,-22.239744,-136.69745
1320000000,-22.235861,-139.2952
1321000000,-22.232061,-141.8929
1322000000,-22.228317,-144.49057
1323000000,-22.224663,-147.08818
1324000000,-22.221008,-149.6859
1325000000,-22.217419,-152.28346
1326000000,-22.213842,-154.88068
1327000000,-22.210266,-157.47792
1328000000,-22.206768,-160.07489
1329000000,-22.20331,-162.67154
1330000000,-22.199858,-165.26807
1331000000,-22.196486,-167.86443
1332000000,-22.193104,-170.4606
1333000000,-22.189779,-173.05646
1334000000,-22.186464,-175.65202
1335000000,-22.183201,-178.24751
1336000000,-22.179956,179.15724
1337000000,-22.176714,176.56215
1338000000,-22.173542,173.96709
1339000000,-22.170383,171.37253
1340000000,-22.167303,168.77783
1341000000,-22.164213,166.18355
1342000000,-22.161165,163.58939
1343000000,-22.158161,160.99542
1344000000,-22.155136,158.40158
1345000000,-22.152134,155.80827
1346000000,-22.149126,153.21497
1347000000,-22.146162,150.62178
1348000000,-22.143208,148.02859
1349000000,-22.140291,145.43546
1350000000,-22.1374,142.84262
1351000000,-22.134497,140.24992
1352000000,-22.131622,137.65718
1353000000,-22.128801,135.06456
1354000000,-22.125956,132.47173
1355000000,-22.123131,129.879
1356000000,-22.12039,127.28625
1357000000,-22.117683,124.69353
1358000000,-22.115007,122.10086
1359000000,-22.112379,119.50822
1360000000,-22.109772,116.91557
1361000000,-22.107218,114.3231
1362000000,-22.104717,111.73064
1363000000,-22.102285,109.13815
1364000000,-22.099884,106.54559
1365000000,-22.097544,103.95319
1366000000,-22.095245,101.36076
1367000000,-22.092995,98.768326
1368000000,-22.090818,96.176178
1369000000,-22.088686,93.584183
1370000000,-22.086678,90.992317
1371000000,-22.084715,88.400681
1372000000,-22.082838,85.809204
1373000000,-22.081059,83.217964
1374000000,-22.079351,80.626717
1375000000,-22.077682,78.035713
1376000000,-22.076096,75.445076
1377000000,-22.074549,72.854576
1378000000,-22.073076,70.264481
1379000000,-22.071665,67.674652
1380000000,-22.070305,65.085381
1381000000,-22.069042,62.496204
1382000000,-22.067831,59.907158
1383000000,-22.066719,57.318687
1384000000,-22.065659,54.730553
1385000000,-22.064659,52.143063
1386000000,-22.063709,49.555958
1387000000,-22.062841,46.969154
1388000000,-22.061998,44.382687
1389000000,-22.06123,41.796707
1390000000,-22.060505,39.211308
1391000000,-22.059835,36.62632
1392000000,-22.059175,34.041779
1393000000,-22.058542,31.457817
1394000000,-22.057976,28.874495
1395000000,-22.057407,26.291628
1396000000,-22.05689,23.709225
1397000000,-22.056429,21.12681
1398000000,-22.055979,18.545223
1399000000,-22.05555,15.964049
1400000000,-22.055141,13.383226
1401000000,-22.05475,10.802879
1402000000,-22.054415,8.2230053
1403000000,-22.054125,5.6436033
1404000000,-22.053869,3.0647075
1405000000,-22.053625,0.48609683
1406000000,-22.053402,-2.0919976
1407000000,-22.053185,-4.6696281
1408000000,-22.052998,-7.2465787
1409000000,-22.052799,-9.8230324
1410000000,-22.052711,-12.399092
1411000000,-22.052536,-14.974743
1412000000,-22.052462,-17.549915
1413000000,-22.052353,-20.124714
1414000000,-22.05221,-22.699045
1415000000,-22.052084,-25.272957
1416000000,-22.051952,-27.846636
1417000000,-22.051762,-30.419893
1418000000,-22.051592,-32.992546
1419000000,-22.051432,-35.565052
1420000000,-22.051317,-38.137074
1421000000,-22.051207,-40.708824
1422000000,-22.051079,-43.280033
1423000000,-22.050941,-45.851131
1424000000,-22.050846,-48.421986
1425000000,-22.050709,-50.992558
1426000000,-22.050575,-53.562836
1427000000,-22.050434,-56.132732
1428000000,-22.050291,-58.702698
1429000000,-22.050201,-61.272324
1430000000,-22.050076,-63.84169
1431000000,-22.049971,-66.410728
1432000000,-22.049868,-68.979614
1433000000,-22.049776,-71.548225
1434000000,-22.049707,-74.116463
1435000000,-22.049652,-76.684685
1436000000,-22.049646,-79.252609
1437000000,-22.049658,-81.820496
1438000000,-22.049639,-84.388054
1439000000,-22.049627,-86.955269
1440000000,-22.049656,-89.522102
1441000000,-22.04969,-92.088898
1442000000,-22.049728,-94.655136
1443000000,-22.049803,-97.221375
1444000000,-22.049953,-99.787292
1445000000,-22.050097,-102.35269
1446000000,-22.050268,-104.91784
1447000000,-22.050476,-107.48269
1448000000,-22.050751,-110.0471
1449000000,-22.051022,-112.61139
1450000000,-22.051306,-115.17503
1451000000,-22.051598,-117.73835
1452000000,-22.051882,-120.30123
1453000000,-22.052183,-122.86359
1454000000,-22.052517,-125.42538
1455000000,-22.052898,-127.98686
1456000000,-22.053244,-130.54774
1457000000,-22.05365,-133.1082
1458000000,-22.05398,-135.66809
1459000000,-22.054285,-138.22751
1460000000,-22.054621,-140.78639
1461000000,-22.054945,-143.34496
1462000000,-22.055229,-145.90298
1463000000,-22.055496,-148.46071
1464000000,-22.055769,-151.01794
1465000000,-22.055946,-153.57495
1466000000,-22.056118,-156.13164
1467000000,-22.056286,-158.68771
1468000000,-22.056427,-161.24365
1469000000,-22.056536,-163.7993
1470000000,-22.056629,-166.35461
1471000000,-22.056694,-168.90984
1472000000,-22.0567,-171.46463
1473000000,-22.056646,-174.0191
1474000000,-22.056587,-176.57321
1475000000,-22.056534,-179.12706
1476000000,-22.056414,178.31946
1477000000,-22.056229,175.76605
1478000000,-22.056078,173.21297
1479000000,-22.05584,170.66016
1480000000,-22.055586,168.10739
1481000000,-22.055321,165.55498
1482000000,-22.055027,163.00267
1483000000,-22.054684,160.45059
1484000000,-22.054289,157.89845
1485000000,-22.053865,155.34625
1486000000,-22.053396,152.79425
1487000000,-22.052895,150.24231
1488000000,-22.05242,147.69028
1489000000,-22.05184,145.13843
1490000000,-22.051229,142.58629
1491000000,-22.050522,140.03435
1492000000,-22.049812,137.48216
1493000000,-22.049063,134.92982
1494000000,-22.048319,132.37724
1495000000,-22.047577,129.82469
1496000000,-22.046831,127.27167
1497000000,-22.046108,124.7189
1498000000,-22.045315,122.16597
1499000000,-22.044531,119.61301
1500000000,-22.043749,117.05975
1501000000,-22.042967,114.50663
1502000000,-22.042213,111.95311
1503000000,-22.041462,109.39951
1504000000,-22.040726,106.84597
1505000000,-22.039999,104.29227
1506000000,-22.039324,101.73845
1507000000,-22.03863,99.184441
1508000000,-22.037952,96.630493
1509000000,-22.037298,94.076492
1510000000,-22.036657,91.522484
1511000000,-22.036066,88.968422
1512000000,-22.035515,86.414207
1513000000,-22.034946,83.85997
1514000000,-22.034399,81.305824
1515000000,-22.033895,78.751656
1516000000,-22.033432,76.197594
1517000000,-22.032948,73.643723
1518000000,-22.032522,71.089828
1519000000,-22.032091,68.536041
1520000000,-22.031721,65.982277
1521000000,-22.03134,63.428581
1522000000,-22.030975,60.874992
1523000000,-22.030621,58.321674
1524000000,-22.030252,55.768372
1525000000,-22.029896,53.215363
1526000000,-22.029564,50.66256
1527000000,-22.029222,48.109848
1528000000,-22.028912,45.557034
1529000000,-22.028639,43.004417
1530000000,-22.028351,40.451782
1531000000,-22.02804,37.89925
1532000000,-22.027731,35.346878
1533000000,-22.027418,32.794765
1534000000,-22.027102,30.242893
1535000000,-22.026741,27.691116
1536000000,-22.02639,25.139368
1537000000,-22.026054,22.587648
1538000000,-22.025702,20.035912
1539000000,-22.025318,17.484369
1540000000,-22.02494,14.932957
1541000000,-22.024559,12.381746
1542000000,-22.024158,9.8304996
1543000000,-22.023769,7.2792606
1544000000,-22.023413,4.7280812
1545000000,-22.022974,2.1766694
1546000000,-22.022552,-0.37457493
1547000000,-22.022064,-2.9257586
1548000000,-22.021559,-5.4765868
1549000000,-22.021027,-8.0278368
1550000000,-22.020475,-10.579119
1551000000,-22.019949,-13.130354
1552000000,-22.019388,-15.681685
1553000000,-22.018736,-18.23313
1554000000,-22.018074,-20.784882
1555000000,-22.017387,-23.336632
1556000000,-22.016687,-25.88875
1557000000,-22.01594,-28.441027
1558000000,-22.015194,-30.993547
1559000000,-22.014467,-33.5466
1560000000,-22.013725,-36.10001
1561000000,-22.012924,-38.653477
1562000000,-22.012199,-41.207474
1563000000,-22.011412,-43.761494
1564000000,-22.010611,-46.31604
1565000000,-22.009863,-48.871017
1566000000,-22.009106,-51.426277
1567000000,-22.008333,-53.98188
1568000000,-22.007626,-56.537788
1569000000,-22.00696,-59.094082
1570000000,-22.006308,-61.650707
1571000000,-22.005638,-64.207855
1572000000,-22.004992,-66.764977
1573000000,-22.004396,-69.322701
1574000000,-22.003857,-71.88047
1575000000,-22.003359,-74.438637
1576000000,-22.002916,-76.997169
1577000000,-22.002535,-79.555977
1578000000,-22.002151,-82.115158
1579000000,-22.001829,-84.674667
1580000000,-22.001495,-87.234253
1581000000,-22.001297,-89.79422
1582000000,-22.001137,-92.35453
1583000000,-22.001011,-94.914948
1584000000,-22.00095,-97.475487
1585000000,-22.000921,-100.03649
1586000000,-22.000996,-102.59738
1587000000,-22.001112,-105.15853
1588000000,-22.001286,-107.71971
1589000000,-22.001522,-110.28092
1590000000,-22.001846,-112.84211
1591000000,-22.00227,-115.4034
1592000000,-22.002747,-117.96476
1593000000,-22.003315,-120.52612
1594000000,-22.00391,-123.08737
1595000000,-22.004536,-125.64864
1596000000,-22.005224,-128.20995
